2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:21:06 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #bbec1e to #260d2c
2018-04-21 10:21:10 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #260d2c to #35fd22
2018-04-21 10:21:17 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #35fd22 to #28be4d
2018-04-21 10:21:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #28be4d to #3c5894
2018-04-21 10:21:29 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3c5894 to #516ff0
2018-04-21 10:21:37 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #516ff0 to #d58142
2018-04-21 10:21:45 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #d58142 to #3c4f9e
2018-04-21 10:21:48 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3c4f9e to #55cc80
2018-04-21 10:21:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #55cc80 to #697235
2018-04-21 10:21:55 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #697235 to #383228
2018-04-21 10:22:03 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #383228 to #2bab5a
2018-04-21 10:22:07 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2bab5a to #cffb5d
2018-04-21 10:22:11 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #cffb5d to #a096bc
2018-04-21 10:22:22 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a096bc to #24a65c
2018-04-21 10:22:26 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #24a65c to #7019e3
2018-04-21 10:22:33 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7019e3 to #a78af6
2018-04-21 10:22:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a78af6 to #c225f6
2018-04-21 10:22:44 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c225f6 to #2be740
2018-04-21 10:22:48 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2be740 to #8f55b7
2018-04-21 10:22:51 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #8f55b7 to #4cdff5
2018-04-21 10:22:59 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #4cdff5 to #e11e28
2018-04-21 10:23:03 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e11e28 to #8245d1
2018-04-21 10:23:10 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #8245d1 to #ab1f44
2018-04-21 10:23:13 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ab1f44 to #638c3f
2018-04-21 10:23:21 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #638c3f to #18f5fa
2018-04-21 10:23:28 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #18f5fa to #60dfcb
2018-04-21 10:23:35 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #60dfcb to #071ee8
2018-04-21 10:23:39 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #071ee8 to #7cb0ca
2018-04-21 10:23:50 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7cb0ca to #56e05b
2018-04-21 10:23:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #56e05b to #0c1ddf
2018-04-21 10:23:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0c1ddf to #fb0185
2018-04-21 10:24:02 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #fb0185 to #72dd28
2018-04-21 10:24:11 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #72dd28 to #573a8d
2018-04-21 10:24:14 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #573a8d to #2ec59f
2018-04-21 10:24:22 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2ec59f to #fcba52
2018-04-21 10:24:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #fcba52 to #12f64d
2018-04-21 10:24:37 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #12f64d to #6805e4
2018-04-21 10:24:41 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6805e4 to #c24993
2018-04-21 10:24:45 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c24993 to #dafe88
2018-04-21 10:24:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #dafe88 to #159abb
2018-04-21 10:24:56 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #159abb to #e0baac
2018-04-21 10:24:59 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e0baac to #b40097
2018-04-21 10:25:03 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b40097 to #10001a
2018-04-21 10:25:10 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #10001a to #7cdcfb
2018-04-21 10:25:14 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7cdcfb to #aed0e9
2018-04-21 10:25:21 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #aed0e9 to #a25e50
