2018-04-22 00:01:06 this bot joined the server
2018-04-22 01:20:27 Role color: 'my coloring role' changed from #edbe86 to #060e49
2018-04-22 01:20:37 Role color: 'my coloring role' changed from #060e49 to #cb3943
2018-04-22 01:20:47 Role color: 'my coloring role' changed from #cb3943 to #a8e351
2018-04-22 01:21:04 Role color: 'my coloring role' changed from #a8e351 to #c92434
2018-04-22 01:21:14 Role color: 'my coloring role' changed from #c92434 to #391e00
2018-04-22 01:21:23 Role color: 'my coloring role' changed from #391e00 to #3d1f47
2018-04-22 01:21:33 Role color: 'my coloring role' changed from #3d1f47 to #ca6408
2018-04-22 01:21:48 Role color: 'my coloring role' changed from #ca6408 to #5d15ee
2018-04-22 01:21:58 Role color: 'my coloring role' changed from #5d15ee to #9742c0
2018-04-22 01:22:14 Role color: 'my coloring role' changed from #9742c0 to #afe9fd
2018-04-22 01:22:24 Role color: 'my coloring role' changed from #afe9fd to #17697c
2018-04-22 01:22:34 Role color: 'my coloring role' changed from #17697c to #d8dc6e
2018-04-22 01:22:44 Role color: 'my coloring role' changed from #d8dc6e to #2dce3f
2018-04-22 01:22:54 Role color: 'my coloring role' changed from #2dce3f to #f53ade
2018-04-22 01:23:04 Role color: 'my coloring role' changed from #f53ade to #8e6c54
2018-04-22 01:23:14 Role color: 'my coloring role' changed from #8e6c54 to #d99dd0
2018-04-22 01:23:24 Role color: 'my coloring role' changed from #d99dd0 to #54be6c
2018-04-22 01:23:40 Role color: 'my coloring role' changed from #54be6c to #f21157
2018-04-22 01:23:49 Role color: 'my coloring role' changed from #f21157 to #e0e443
2018-04-22 01:24:11 Role color: 'my coloring role' changed from #e0e443 to #c5e8ab
2018-04-22 01:24:21 Role color: 'my coloring role' changed from #c5e8ab to #b0e930
2018-04-22 01:24:31 Role color: 'my coloring role' changed from #b0e930 to #0e69b7
2018-04-22 01:24:41 Role color: 'my coloring role' changed from #0e69b7 to #6d01c5
2018-04-22 01:24:51 Role color: 'my coloring role' changed from #6d01c5 to #4978cc
2018-04-22 01:25:02 Role color: 'my coloring role' changed from #4978cc to #2572a8
2018-04-22 01:25:13 Role color: 'my coloring role' changed from #2572a8 to #25c7d0
2018-04-22 01:25:24 Role color: 'my coloring role' changed from #25c7d0 to #72fe0f
2018-04-22 01:25:34 Role color: 'my coloring role' changed from #72fe0f to #9ad897
2018-04-22 01:25:51 Role color: 'my coloring role' changed from #9ad897 to #a97013
2018-04-22 01:26:09 Role color: 'my coloring role' changed from #a97013 to #f983a5
2018-04-22 01:26:19 Role color: 'my coloring role' changed from #f983a5 to #a102d4
2018-04-22 01:26:30 Role color: 'my coloring role' changed from #a102d4 to #c4fd7a
2018-04-22 01:26:48 Role color: 'my coloring role' changed from #c4fd7a to #495129
2018-04-22 01:26:58 Role color: 'my coloring role' changed from #495129 to #2a9257
2018-04-22 01:27:09 Role color: 'my coloring role' changed from #2a9257 to #a04aa1
2018-04-22 01:27:19 Role color: 'my coloring role' changed from #a04aa1 to #abe970
2018-04-22 01:27:29 Role color: 'my coloring role' changed from #abe970 to #f0ff92
2018-04-22 01:27:50 Role color: 'my coloring role' changed from #f0ff92 to #647730
2018-04-22 01:28:00 Role color: 'my coloring role' changed from #647730 to #4f7221
2018-04-22 01:28:10 Role color: 'my coloring role' changed from #4f7221 to #f9d4c9
2018-04-22 01:28:20 Role color: 'my coloring role' changed from #f9d4c9 to #8babfd
2018-04-22 01:28:54 Role color: 'my coloring role' changed from #8babfd to #0e2611
2018-04-22 01:29:04 Role color: 'my coloring role' changed from #0e2611 to #69b974
2018-04-22 01:29:14 Role color: 'my coloring role' changed from #69b974 to #e64670
2018-04-22 01:29:24 Role color: 'my coloring role' changed from #e64670 to #df3b4d
2018-04-22 01:29:34 Role color: 'my coloring role' changed from #df3b4d to #995259
2018-04-22 01:29:50 Role color: 'my coloring role' changed from #995259 to #2d7b72
2018-04-22 01:30:00 Role color: 'my coloring role' changed from #2d7b72 to #b46f2d
2018-04-22 01:30:10 Role color: 'my coloring role' changed from #b46f2d to #4d86bc
2018-04-22 01:30:20 Role color: 'my coloring role' changed from #4d86bc to #b9592a
2018-04-22 01:30:30 Role color: 'my coloring role' changed from #b9592a to #43b550
2018-04-22 01:30:40 Role color: 'my coloring role' changed from #43b550 to #8cf501
2018-04-22 01:30:50 Role color: 'my coloring role' changed from #8cf501 to #79988f
2018-04-22 01:31:00 Role color: 'my coloring role' changed from #79988f to #c787c4
2018-04-22 01:31:11 Role color: 'my coloring role' changed from #c787c4 to #4442bd
2018-04-22 01:31:21 Role color: 'my coloring role' changed from #4442bd to #66f1ce
