2018-04-26 03:41:55 Role color: 'Jahnyce' changed from #73908a to #e9a1a1
2018-04-26 03:41:59 Role color: 'Jahnyce' changed from #e9a1a1 to #87527f
2018-04-26 03:42:03 Role color: 'Jahnyce' changed from #87527f to #5cbcd7
2018-04-26 03:42:09 Role color: 'Jahnyce' changed from #5cbcd7 to #9aad68
2018-04-26 03:42:13 Role color: 'Jahnyce' changed from #9aad68 to #c52ff7
2018-04-26 03:42:17 Role color: 'Jahnyce' changed from #c52ff7 to #276921
2018-04-26 03:42:22 Role color: 'Jahnyce' changed from #276921 to #636c6f
2018-04-26 03:42:28 Role color: 'Jahnyce' changed from #636c6f to #0b55a6
2018-04-26 03:42:32 Role color: 'Jahnyce' changed from #0b55a6 to #dfd5eb
2018-04-26 03:42:36 Role color: 'Jahnyce' changed from #dfd5eb to #68b901
2018-04-26 03:42:40 Role color: 'Jahnyce' changed from #68b901 to #1e3bb5
2018-04-26 03:42:47 Role color: 'Jahnyce' changed from #1e3bb5 to #d6cd82
2018-04-26 03:42:50 Role color: 'Jahnyce' changed from #d6cd82 to #c3fdc5
2018-04-26 03:42:54 Role deleted: 'Ghostplay R2' (id 438840960114229269)
2018-04-26 03:42:54 Member leave: @Ghostplay R2#1298 (id 435829986772123658)
2018-04-26 03:42:58 Role deleted: 'Synapse' (id 438841239308337192)
2018-04-26 03:42:58 Member leave: @Synapse#0692 (id 435538622293344266)
2018-04-26 03:42:58 this bot left the server
